,connectionTime,disconnectTime,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
840,7.099722222222222,19.380833333333335,1,326,351.0,400.0,36.0,90.0,684.0,7.101388888888889,1.0,18.499722222222225
841,7.132222222222222,0.3086111111111111,1,322,480.0,400.0,16.0,40.0,482.0,7.133333333333334,1.0,15.165555555555557
842,7.134444444444445,0.7222222222222222,1,435,3201.0,333.0,19.98,60.0,530.0,7.134166666666667,1.0,15.967777777777778
843,7.189166666666667,23.88277777777778,1,436,1797.0,400.0,8.0,20.0,249.0,7.189166666666667,1.0,11.339166666666667
844,7.193888888888889,2.1294444444444447,1,437,409.0,400.0,12.0,30.0,593.0,7.199722222222222,1.0,17.077222222222222
845,7.206388888888889,20.10027777777778,1,439,,,,,,,,
846,7.335277777777778,22.875555555555557,1,444,,,,,,,,
847,7.338888888888889,1.0680555555555555,1,451,386.0,500.0,10.0,20.0,542.0,7.338888888888889,1.0,16.372222222222224
848,7.4061111111111115,0.21027777777777779,1,318,630.0,400.0,24.0,60.0,416.0,7.434444444444445,1.0,14.339444444444444
849,7.413055555555556,1.565,1,449,194.0,250.0,25.0,100.0,491.0,7.437777777777778,1.0,15.596388888888889
850,7.420277777777778,0.7058333333333333,1,441,1239.0,600.0,30.0,50.0,375.0,7.441111111111112,1.0,13.670277777777777
851,7.425833333333333,22.99888888888889,1,450,826.0,200.0,14.0,70.0,604.0,7.430833333333334,1.0,17.4925
852,7.5,1.912222222222222,1,442,581.0,400.0,32.0,80.0,469.0,7.502777777777778,1.0,15.316666666666666
853,7.516666666666667,1.7669444444444444,1,438,365.0,333.0,9.99,30.0,104.0,7.519722222222222,1.0,9.25
854,7.532222222222222,0.24555555555555555,1,445,1277.0,400.0,20.0,50.0,461.0,7.560833333333333,1.0,15.215555555555556
855,7.603055555555555,1.8072222222222223,1,330,3331.0,229.0,4.58,20.0,434.0,7.607777777777778,1.0,14.836388888888889
856,7.605555555555555,0.6997222222222222,1,440,355.0,400.0,20.0,50.0,273.0,7.6372222222222215,1.0,12.155555555555557
857,10.16861111111111,1.6505555555555556,1,446,1485.0,400.0,16.0,40.0,374.0,10.173333333333332,1.0,16.401944444444442
858,11.143611111111111,2.6669444444444443,1,102,1626.0,200.0,46.0,230.0,316.0,11.17361111111111,1.0,16.410277777777775
859,11.587777777777779,1.3630555555555557,1,326,3251.0,400.0,16.0,40.0,172.0,11.6,1.0,14.454444444444444
860,11.758333333333333,2.2672222222222222,1,107,337.0,250.0,27.5,110.0,314.0,11.774444444444445,1.0,16.991666666666667
861,12.1025,1.0580555555555555,1,439,2129.0,400.0,8.0,20.0,60.0,12.115277777777777,1.0,13.1025
862,13.731111111111112,4.716944444444445,1,113,394.0,250.0,27.5,110.0,261.0,13.731388888888889,1.0,18.08111111111111
863,14.65611111111111,2.495,1,329,608.0,333.0,19.98,60.0,181.0,14.68888888888889,1.0,17.672777777777778
864,14.807500000000001,1.7891666666666666,1,327,313.0,400.0,68.0,170.0,454.0,14.814444444444446,1.0,22.374166666666667
